Quantity, Footprint, Comment, Description,编号
1,"TQFN32_5","atmega328",U3,"C38966"
2,"0402","22p",C11 C12,"C1555"
1,"0402","120K",R1,"C25750"
1,"SO8","MP1584",U1,"C15051"
1,"DO-214AA","10uH",L1,""
1,"0402","200K",R3,"C25764"
1,"0402","10nF",C4,"C15195"
1,"0402","39K",R2,"C25783"
1,"0402","220pF",C3,"C1530"
1,"0402","68K",R6,"C3687"
6,"0402","0.1uF",C8 C9 C5 C6 C7 C10,""
4,"0402","3.3k",R9 R10 R14 R12,"C25890"
2,"0603","red",LED3 LED2,"C2286"
1,"0603","blue",LED1,"C72041"
2,"EL357N","EL357N",U8 U9,"C6649"
1,"0402","27K",R5,"C25771"
1,"0402","100k",R4,"C25741"
1,"EIA3528","100uF/6.3v",C2,"C16133"
1,"1206","10uF/50v",C1,"C13585"
1,"DO-214AA","SS34",D1,"C84635"
1,"DO-214AA","20V",D2,"C327523"
2,"0402","1.5k",R15 R13,"C25867"
1,"0402","1M",R7,"C26083"
1,"0402","47k",R8,"C25792"
1,"SOT23","AO3400A",Q1,"C20917"
1,"0402","10K",R11,"C25744"
1,"SO16","SP3232",U2,"C13482"
4,"SO8","AO4407A",U4 U5 U10 U11,"C16072"
